term,window,conf.low,estimate,conf.high,p.value,outcome
DPHP,prenatal,-75.724,-30.480,14.763,0.2674653387577592,Pallidum
DPHP,3y,-16.074,10.640,37.353,0.5123841072322002,Pallidum
BCEtP,birth,-60.447,-23.265,13.917,0.30339420941624073,Hippocampus
BCEtP,prenatal,-60.447,-23.265,13.917,0.30339420941624073,Hippocampus
BCEtP,3y,-31.755,30.590,92.934,0.4191759303023882,Hippocampus
BDCPP,birth,-61.119,-13.538,34.043,0.6397859958521083,Hippocampus
BDCPP,prenatal,-61.119,-13.538,34.043,0.6397859958521083,Hippocampus
BDCPP,3y,-61.119,-13.538,34.043,0.6397859958521083,Hippocampus
DBuP,birth,-50.867,1.573,54.013,0.9606457193987153,Hippocampus
DBuP,prenatal,-50.867,1.573,54.013,0.9606457193987153,Hippocampus
DBuP,3y,-50.867,1.573,54.013,0.9606457193987153,Hippocampus
DPHP,birth,-37.152,8.992,55.136,0.7485605849368797,Hippocampus
DPHP,prenatal,-37.152,8.992,55.136,0.7485605849368797,Hippocampus
DPHP,3y,-37.152,8.992,55.136,0.7485605849368797,Hippocampus
BCEtP,birth,-27.715,-3.037,21.641,0.8395947406250233,Amygdala
BCEtP,prenatal,-27.715,-3.037,21.641,0.8395947406250233,Amygdala
BCEtP,3y,-27.715,-3.037,21.641,0.8395947406250233,Amygdala
BDCPP,birth,-27.452,-2.268,22.916,0.8822283583107738,Amygdala
BDCPP,prenatal,-27.452,-2.268,22.916,0.8822283583107738,Amygdala
BDCPP,3y,-27.452,-2.268,22.916,0.8822283583107738,Amygdala
DBuP,birth,-36.303,-2.561,31.181,0.9006451222884061,Amygdala
DBuP,prenatal,-36.303,-2.561,31.181,0.9006451222884061,Amygdala
DBuP,3y,-36.303,-2.561,31.181,0.9006451222884061,Amygdala
DPHP,birth,-31.316,-7.085,17.147,0.630578313254984,Amygdala
DPHP,prenatal,-31.316,-7.085,17.147,0.630578313254984,Amygdala
DPHP,3y,-31.316,-7.085,17.147,0.630578313254984,Amygdala
BCEtP,birth,-10.256,1.245,12.746,0.8586543308894626,Accumbens_area
BCEtP,prenatal,-10.256,1.245,12.746,0.8586543308894626,Accumbens_area
BCEtP,3y,-10.256,1.245,12.746,0.8586543308894626,Accumbens_area
BDCPP,birth,-10.688,10.700,32.089,0.4101168477463044,Accumbens_area
BDCPP,prenatal,-15.800,5.238,26.276,0.6817722945059215,Accumbens_area
BDCPP,3y,-7.388,13.835,35.059,0.28323627078510555,Accumbens_area
DBuP,birth,-13.351,12.051,37.453,0.4347266677058832,Accumbens_area
DBuP,prenatal,-36.941,-21.032,-5.123,0.029662003184988905,Accumbens_area
DBuP,3y,-25.476,-1.945,21.585,0.891706804480296,Accumbens_area
DPHP,birth,-9.126,4.156,17.439,0.6067592964309939,Accumbens_area
DPHP,prenatal,-9.126,4.156,17.439,0.6067592964309939,Accumbens_area
DPHP,3y,-9.126,4.156,17.439,0.6067592964309939,Accumbens_area
BCEtP,birth,-42.958,22.656,88.270,0.5700688988112861,VentralDC
BCEtP,prenatal,-42.958,22.656,88.270,0.5700688988112861,VentralDC
BCEtP,3y,-42.958,22.656,88.270,0.5700688988112861,VentralDC
